object_annotation_category,total_lipids_ugC,fullness_ratio_carbon,month,month_true
civstage+lateral<Calanus hyperboreus,252.08955931109332,0.5723588373034687,8,8
civstage+lateral<Calanus hyperboreus,349.8187108860699,0.6677920092026748,8,8
female+lateral<Calanus hyperboreus,1588.0084865176143,0.6103943530437446,8,8
female+lateral<Calanus hyperboreus,1584.9064955017088,0.5873296997022656,8,8
civstage+lateral<Calanus hyperboreus,434.77262561711535,0.6702186097432943,8,8
cvstage+lateral<Calanus glacialis,325.54588042730984,0.7027344352141914,8,8
cvstage+lateral<Calanus glacialis,303.3172135176331,0.6468213253426408,8,8
cvstage+lateral<Calanus hyperboreus,1260.7752562968524,0.5950952098584238,8,8
cvstage+lateral<Calanus glacialis,370.02075494693,0.7094921075994348,8,8
civstage+lateral<Calanus hyperboreus,335.62398880170326,0.6578201822589295,8,8
civstage+lateral<Calanus hyperboreus,378.04601546084496,0.6852341861491168,8,8
civstage+lateral<Calanus hyperboreus,321.1533094013817,0.5760980049266374,8,8
female+lateral<Calanus hyperboreus,1019.5910741880516,0.6328932564195365,8,8
civstage+lateral<Calanus hyperboreus,306.23712668792564,0.6180066319886078,8,8
civstage+lateral<Calanus hyperboreus,434.77262561711535,0.6542789772577307,8,8
civstage+lateral<Calanus hyperboreus,346.1878336853776,0.5367761794286215,8,8
cvstage+lateral<Calanus hyperboreus,1116.4117589619248,0.5776364266257153,8,8
female+lateral<Calanus hyperboreus,1544.9496341312993,0.6145684249974821,8,8
cvstage+lateral<Calanus hyperboreus,934.030242031752,0.538200385007878,8,8
cvstage+lateral<Calanus glacialis,510.11267969495566,0.6624830287195087,8,8
cvstage+lateral<Calanus glacialis,451.86300479814025,0.6079451296939893,8,8
cvstage+lateral<Calanus glacialis,281.7464303588618,0.6009475034497245,8,8
female+lateral<Calanus hyperboreus,1757.1832523361054,0.5518826198738387,8,8
civstage+lateral<Calanus hyperboreus,393.5634272981163,0.6341343221519512,8,8
cvstage+lateral<Calanus hyperboreus,1121.634167826146,0.6051375752279992,8,8
cvstage+lateral<Calanus hyperboreus,2222.705459341131,0.6338070525904282,8,8
civstage+lateral<Calanus hyperboreus,341.5829635309445,0.6435846589113751,8,8
cvstage+lateral<Calanus hyperboreus,1391.370355909185,0.5933124418589969,8,8
cvstage+lateral<Calanus hyperboreus,823.7869719211111,0.4812614922057868,8,8
civstage+lateral<Calanus hyperboreus,378.9691332946604,0.6335280775779875,8,8
cvstage+lateral<Calanus hyperboreus,1484.0743074017528,0.4943886258795424,8,8
civstage+lateral<Calanus hyperboreus,380.5620339270127,0.6493315579279387,8,8
